GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dispatch-api,com.mi.asp.dispatch.api.constant,DispatchAssignFailReasonEnum,3,199,0,14,1,28,1,14,1,7
dispatch-api,com.mi.asp.dispatch.api.constant,DispatchErrorCode,24,0,0,0,3,0,1,0,1,0
dispatch-domain,com.mi.asp.dispatch.domain.common.exception,BusinessException,8,20,0,0,3,7,1,3,1,3
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.select,DistanceTierSelectStrategy,0,113,2,12,0,19,2,10,0,5
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.select,SaturationMinSelectStrategy,2,48,2,6,0,9,2,7,0,5
dispatch-domain,com.mi.asp.dispatch.domain.common,BusinessErrorCode,3,333,0,0,1,39,1,6,1,6
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,EngineerCertificateFilterStrategy,4,180,5,31,1,45,5,21,0,8
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,EngineerBasicInfoFilterStrategy,7,99,8,14,2,21,8,10,0,7
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,AbstractDispatchFilterStrategy,40,103,2,8,5,17,2,7,0,4
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,EngineerHolidayFilterStrategy,5,88,6,12,2,20,6,6,0,3
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,EngineerLevelFilterStrategy,1,40,2,6,0,8,2,7,0,5
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.filter,EngineerOverloadFilterStrategy,6,107,7,19,4,28,7,13,0,7
dispatch-domain,com.mi.asp.dispatch.domain.asign.service.impl,DispatchRecommendDomainServiceImpl,20,208,9,23,7,49,9,18,0,11
dispatch-domain,com.mi.asp.dispatch.domain.asign.service.impl,DispatchRecommendDomainServiceImpl.FailReasonInfo,0,21,0,0,0,7,0,4,0,4
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.fill,EngineerSaturationCalculateFillStrategy,404,1332,129,137,82,268,119,58,9,35
dispatch-domain,com.mi.asp.dispatch.domain.config.service.impl,WorkloadConfigServiceImpl,34,3469,24,366,9,765,24,240,1,65
dispatch-domain,com.mi.asp.dispatch.domain.config.service.impl,WorkloadConfigServiceImpl.PeakMonthParseResult,0,9,0,0,0,4,0,1,0,1
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.plan,DispatchScenarioPlan,77,11,14,0,0,2,12,2,5,2
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.plan,DispatchScenarioPlanResolver,0,188,0,3,0,23,0,4,0,2
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy.rank,EngineerProbabilityRankStrategy,63,445,17,59,10,103,16,39,1,16
dispatch-domain,com.mi.asp.dispatch.domain.asign.config,UnfinishedStatsQueryExecutorConfig,28,0,0,0,9,0,2,0,2,0
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy,DispatchScenario,0,34,0,0,0,4,0,1,0,1
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy,DispatchStrategyContext,157,62,31,1,0,13,22,8,6,8
dispatch-domain,com.mi.asp.dispatch.domain.asign.strategy,DispatchStrategyOrchestrator,3,100,2,6,0,25,3,7,1,5
dispatch-app,com.mi.asp.dispatch.service,DubboHealthProviderImpl,15,0,0,0,3,0,2,0,2,0
dispatch-app,com.mi.asp.dispatch.service.asign.bean,CommonRecommendBase,325,104,70,0,1,30,39,12,4,12
dispatch-app,com.mi.asp.dispatch.common.aop,DubboServiceAspect,148,0,0,0,23,0,4,0,4,0
dispatch-app,com.mi.asp.dispatch.service.config,EngineerWorkloadConfigProviderImpl,0,239,0,22,0,48,0,22,0,11
dispatch-app,com.mi.asp.dispatch.service.asign,DispatchRecommendEngineerProviderImpl,0,23,0,0,0,6,0,4,0,4
dispatch-app,com.mi.asp.dispatch.service.asign,DispatchRecommendRpcAppService,11,184,2,18,1,36,2,15,0,7
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.repository,InMemoryDispatchRuleRepository,0,57,0,4,0,15,0,5,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.gateway,EngineerWorkloadConfigGatewayImpl,0,1039,0,112,0,239,0,84,0,28
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.gateway,CategoryGatewayImpl,0,161,0,24,0,42,0,27,0,15
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.gateway,UserGatewayImpl,0,259,0,22,0,58,0,18,0,7
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.gateway,EngineerWorkloadConfigLogGatewayImpl,0,134,0,10,0,31,0,10,0,5
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.gateway,FileUploadGatewayImpl,0,95,0,6,0,22,0,6,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config,FdsConfiguration,7,0,0,0,2,0,2,0,2,0
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.region.gateway,RegionGatewayImpl,59,250,13,37,14,67,9,27,2,9
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.datasource,DispatchDataSourceType,0,24,0,0,0,3,0,1,0,1
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.datasource,DispatchSlaveReadAspect,0,32,1,3,0,10,1,4,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.datasource,DispatchRoutingDataSource,9,0,0,0,3,0,3,0,3,0
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.config.datasource,DispatchDataSourceContextHolder,5,19,1,1,1,8,1,5,0,5
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchCandidateGatewayImpl,28,200,7,13,7,46,6,11,0,7
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchServiceItemCategoryGatewayImpl,0,45,2,6,0,11,2,5,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchEngineerHolidayGatewayImpl,1,89,3,13,1,15,3,9,0,4
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchEngineerBasicInfoGatewayImpl,0,45,2,6,0,11,2,5,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchEngineerCertificateGatewayImpl,0,40,0,4,0,12,0,5,0,3
dispatch-infrastructure,com.mi.asp.dispatch.infrastructure.asign.gateway,DispatchEngineerUnfinishedTaskGatewayImpl,54,408,8,28,9,69,8,16,0,6
